student_id,name,gender,class,date_of_birth
S2090,Chukwu Johnson,Female,JSS1,2005-07-13
S2091,Victor Balogun,Male,SS2,2007-08-01
S2092,Susan Bello,Female,SS1,2008-12-24
S2093,Chukwu Ali,Male,SS1,2005-05-14
S2094,Emmanuel Ade,Female,JSS3,2009-11-26
S2095,Amina Balogun,Male,SS1,2005-10-18
S2096,Tobi Smith,Male,JSS1,2009-07-05
S2097,Nathan Okonkwo,Male,JSS3,2007-06-07
S2098,Nathan Ogundipe,Female,SS1,2006-07-09
S2099,Fatima Johnson,Male,SS3,2008-01-12
S2100,Lola Eze,Male,SS3,2004-01-08
S2101,Mary Ade,Male,JSS2,2005-08-22
S2102,Grace Ali,Male,SS1,2009-05-25
S2103,Olive Okonkwo,Male,JSS2,2006-02-19
S2104,Tobi Bello,Female,SS1,2009-04-03
S2105,Victor Balogun,Male,JSS1,2009-05-28
S2106,Helen Ibrahim,Male,JSS3,2008-07-22
S2107,Olive Ibrahim,Female,JSS1,2007-08-04
S2108,Tari Ogundipe,Female,SS3,2005-07-06
S2109,Favour Eze,Female,SS2,2008-08-15
S2110,Tari Balogun,Female,JSS3,2005-02-09
S2111,Blessing Ola,Female,SS2,2008-11-13
S2112,Michael Ade,Female,JSS3,2005-08-07
S2113,Susan Bello,Female,JSS3,2008-12-09
S2114,Adewale Ade,Male,JSS1,2005-12-14
S2115,Emmanuel Adams,Male,SS3,2007-11-23
S2116,Emmanuel Johnson,Male,JSS1,2006-04-13
S2117,Babatunde Bello,Female,SS1,2008-09-12
S2118,Tari Balogun,Female,JSS3,2009-08-09
S2119,Ibrahim Bello,Male,JSS1,2009-04-11
S2120,Grace Balogun,Male,JSS2,2005-12-16
S2121,Samuel Balogun,Female,JSS1,2005-05-08
S2122,Olive Okonkwo,Female,JSS1,2009-09-05
S2123,Samuel Ade,Male,SS2,2006-12-05
S2124,Emmanuel Ibrahim,Male,SS2,2006-08-16
S2125,Blessing Ogundipe,Male,JSS1,2006-08-04
S2126,Emeka Smith,Female,JSS1,2008-11-22
S2127,Kemi Okonkwo,Male,SS2,2006-02-08
S2128,Grace Adams,Female,SS2,2008-10-08
S2129,Favour Smith,Female,SS1,2006-10-14
S2130,Ibrahim Ali,Male,SS2,2009-02-25
S2131,John Eze,Male,JSS3,2009-02-06
S2132,Babatunde Okonkwo,Male,JSS2,2004-07-15
S2133,Helen Johnson,Female,JSS1,2005-05-23
S2134,Esther Balogun,Female,JSS1,2009-04-09
S2135,Victor Eze,Male,SS1,2004-09-08
S2136,Rasheed Bello,Male,JSS1,2004-03-26
S2137,Ibrahim Ali,Female,SS1,2004-08-23
S2138,Ibrahim Balogun,Female,JSS3,2008-09-16
S2139,Blessing Ibrahim,Male,SS1,2009-06-20
S2140,Ngozi Ade,Male,JSS2,2009-10-19
S2141,Tobi Eze,Female,SS2,2004-03-16
S2142,Favour Eze,Female,JSS3,2005-10-14
S2143,Emmanuel Ibrahim,Female,JSS3,2007-06-11
S2144,David Okonkwo,Female,SS1,2009-08-10
S2145,Amina Adams,Male,SS1,2004-06-09
S2146,Rita Ibrahim,Female,SS2,2004-11-28
S2147,Chukwu Johnson,Female,JSS1,2005-09-12
S2148,Emmanuel Eze,Female,JSS1,2005-05-18
S2149,Ife Bello,Female,SS3,2007-02-01
S2150,Helen Ola,Male,JSS3,2008-01-18
S2151,Olu Ibrahim,Male,JSS1,2007-02-21
S2152,Rasheed Johnson,Female,SS2,2009-05-14
S2153,Joy Johnson,Male,SS1,2008-03-13
S2154,Mary Ali,Male,JSS1,2006-07-11
S2155,Hadiza Bello,Male,JSS3,2009-05-27
S2156,Victor Ali,Female,JSS2,2007-09-16
S2157,Susan Ogundipe,Female,SS1,2006-04-23
S2158,Babatunde Ali,Female,JSS2,2007-01-11
S2159,Joy Balogun,Female,SS1,2009-11-05
S2160,Emmanuel Ade,Male,SS2,2008-06-28
S2161,David Johnson,Male,SS2,2007-01-24
S2162,Rasheed Smith,Male,JSS1,2007-05-11
S2163,Amina Eze,Male,JSS3,2009-09-13
S2164,Rita Eze,Female,SS2,2004-10-03
S2165,Babatunde Eze,Female,JSS2,2009-02-14
S2166,David Eze,Male,SS1,2005-12-10
S2167,Tobi Ade,Female,JSS1,2006-06-12
S2168,Tari Okonkwo,Male,SS2,2007-10-22
S2169,Paul Okonkwo,Male,JSS1,2008-07-20
S2170,Babatunde Johnson,Male,JSS2,2007-11-09
S2171,Nathan Bello,Male,SS1,2006-11-18
S2172,Sandra Ibrahim,Female,JSS3,2008-05-21
S2173,Tari Balogun,Female,SS1,2006-04-13
S2174,Joy Ibrahim,Male,SS1,2008-06-19
S2175,Esther Balogun,Female,JSS1,2009-07-09
S2176,Ayo Ali,Male,SS2,2009-08-27
S2177,Esther Ola,Female,JSS2,2009-04-20
S2178,Ngozi Eze,Male,SS3,2004-11-21
S2179,Chi Bello,Female,JSS1,2008-06-24
S2180,Ife Ibrahim,Female,JSS3,2009-07-06
S2181,Mary Okonkwo,Female,SS2,2008-05-27
S2182,Sandra Bello,Female,JSS3,2009-06-26
S2183,Grace Johnson,Male,JSS2,2005-11-24
S2184,Amina Adams,Female,JSS1,2007-01-09
S2185,Chukwu Ibrahim,Female,JSS3,2009-12-22
S2186,Ngozi Ali,Female,SS3,2006-02-22
S2187,Lola Johnson,Male,SS2,2008-06-20
S2188,Lola Eze,Male,SS3,2007-12-10
S2189,Olu Ibrahim,Male,JSS1,2004-05-16
S2190,Grace Ibrahim,Male,SS2,2005-07-15
S2191,Olive Eze,Female,SS2,2009-12-05
S2192,Olu Eze,Male,SS1,2008-07-09
S2193,Chi Balogun,Female,JSS2,2007-08-08
S2194,Olive Ibrahim,Female,SS2,2009-06-02
S2195,Amina Bello,Male,JSS1,2007-02-22
S2196,John Eze,Male,JSS1,2006-04-05
S2197,Zainab Ola,Male,SS2,2005-10-07
S2198,Lola Ogundipe,Male,SS2,2004-05-28
S2199,Rasheed Okonkwo,Female,JSS2,2004-11-28
S2200,Tobi Okonkwo,Male,JSS3,2005-10-11
S2201,Tobi Okonkwo,Female,JSS1,2005-12-14
S2202,Favour Ibrahim,Male,SS1,2007-06-17
S2203,Victor Ibrahim,Female,SS2,2005-10-02
S2204,Favour Bello,Female,SS3,2004-01-16
S2205,Amina Smith,Male,SS1,2009-08-03
S2206,Fatima Ogundipe,Male,JSS1,2005-05-20
S2207,Victor Adams,Female,SS1,2008-09-10
S2208,Nathan Adams,Female,JSS1,2009-02-28
S2209,Adewale Balogun,Male,SS1,2007-04-14
S2210,Michael Johnson,Female,SS1,2009-02-11
S2211,Tari Ogundipe,Female,JSS3,2005-11-16
S2212,Emeka Ibrahim,Male,JSS1,2007-02-24
S2213,Olive Okonkwo,Male,SS2,2008-09-11
S2214,Grace Smith,Female,SS3,2007-12-02
S2215,Esther Ali,Female,JSS3,2004-10-17
S2216,John Okonkwo,Female,JSS2,2004-06-28
S2217,Adewale Ogundipe,Male,JSS3,2008-04-26
S2218,Tari Adams,Male,SS2,2009-12-09
S2219,Tobi Okonkwo,Female,SS3,2006-06-12
S2220,Ayo Okonkwo,Male,SS2,2009-07-03
S2221,Rasheed Balogun,Male,JSS1,2009-09-07
S2222,Peter Smith,Female,JSS3,2005-06-10
S2223,Rita Ali,Male,JSS1,2005-03-25
S2224,Kemi Eze,Male,JSS3,2007-11-14
S2225,Emmanuel Ali,Female,SS1,2006-04-25
S2226,Hadiza Ibrahim,Female,SS1,2004-05-22
S2227,Victor Johnson,Female,JSS1,2005-07-20
S2228,Kemi Ade,Male,JSS3,2005-03-25
S2229,Ngozi Bello,Female,JSS1,2004-08-24
S2230,Tari Okonkwo,Male,SS1,2008-12-08
S2231,Hadiza Adams,Female,JSS1,2007-12-02
S2232,Tari Ade,Female,JSS1,2006-10-14
S2233,Zainab Smith,Female,JSS3,2004-07-01
S2234,Rita Okonkwo,Female,SS3,2006-02-14
S2235,David Ola,Female,SS2,2007-09-03
S2236,Amina Bello,Female,JSS2,2006-03-03
S2237,Hadiza Eze,Male,SS2,2008-04-25
S2238,Susan Ogundipe,Male,JSS2,2004-03-09
S2239,Mary Okonkwo,Male,SS3,2004-03-25
S2240,Emmanuel Johnson,Female,SS3,2008-11-21
S2241,Rita Eze,Female,JSS2,2007-02-16
S2242,Blessing Eze,Female,JSS3,2008-01-12
S2243,Hadiza Ibrahim,Female,SS1,2007-01-02
S2244,Olive Bello,Male,SS3,2004-10-20
S2245,Hadiza Smith,Female,SS2,2008-12-02
S2246,Blessing Ali,Male,JSS3,2008-08-17
S2247,Rasheed Ade,Female,JSS1,2006-12-03
S2248,Hadiza Eze,Male,JSS1,2005-12-15
S2249,Blessing Adams,Male,JSS3,2006-05-13
S2250,Olu Ogundipe,Male,SS3,2009-06-03
S2251,Michael Ibrahim,Female,JSS3,2006-12-28
S2252,Helen Okonkwo,Female,JSS1,2008-11-05
S2253,Susan Bello,Female,JSS2,2008-12-03
S2254,Ibrahim Adams,Female,SS3,2006-03-22
S2255,Favour Ibrahim,Female,SS2,2006-01-12
S2256,Ibrahim Okonkwo,Male,JSS3,2007-04-08
S2257,Ife Okonkwo,Male,JSS3,2004-09-25
S2258,Chukwu Balogun,Male,SS3,2006-10-05
S2259,Helen Smith,Male,JSS2,2005-12-25
S2260,Sandra Balogun,Female,JSS1,2007-06-22
S2261,Babatunde Johnson,Female,SS3,2007-04-18
S2262,Babatunde Bello,Female,JSS2,2006-11-19
S2263,Blessing Johnson,Female,SS1,2008-09-14
S2264,Sandra Ola,Male,JSS3,2004-11-16
S2265,Olive Adams,Male,SS3,2008-02-10
S2266,Fatima Okonkwo,Female,SS1,2008-03-27
S2267,Tari Ibrahim,Male,SS1,2006-01-14
S2268,Kemi Smith,Female,JSS2,2007-02-12
S2269,Lola Ade,Female,JSS1,2009-11-11
S2270,Rasheed Okonkwo,Male,JSS3,2007-12-27
S2271,Ife Balogun,Female,SS1,2008-01-03
S2272,Tobi Bello,Male,JSS2,2008-12-20
S2273,Favour Smith,Male,JSS3,2005-05-04
S2274,Kemi Ola,Female,SS3,2008-08-03
S2275,Grace Johnson,Male,SS3,2008-10-08
S2276,Rasheed Bello,Female,JSS1,2008-06-08
S2277,Zainab Smith,Male,SS3,2009-02-17
S2278,Olive Ibrahim,Male,SS1,2007-01-21
S2279,Peter Ogundipe,Female,SS3,2004-06-26
S2280,Emeka Ogundipe,Male,SS3,2009-11-04
S2281,Victor Balogun,Female,JSS2,2004-06-18
S2282,Michael Eze,Male,SS3,2007-12-16
S2283,Paul Okonkwo,Male,SS3,2007-01-10
S2284,Mary Ade,Male,JSS1,2006-05-17
S2285,Amina Adams,Female,JSS3,2004-11-07
S2286,Esther Ogundipe,Male,SS3,2006-05-04
S2287,Olive Smith,Female,SS3,2007-07-11
S2288,Paul Johnson,Female,JSS3,2008-05-26
S2289,Fatima Balogun,Female,JSS1,2007-10-27
S2290,Paul Adams,Female,JSS3,2004-02-11
S2291,Esther Bello,Female,SS2,2009-07-06
S2292,Blessing Ogundipe,Female,JSS1,2009-06-20
S2293,Tari Bello,Male,JSS1,2009-11-13
S2294,Olive Adams,Male,JSS1,2005-10-22
S2295,Blessing Ade,Male,JSS1,2005-11-12
S2296,Olive Smith,Male,SS2,2005-11-15
S2297,Olive Ogundipe,Female,JSS1,2008-03-17
S2298,Olive Smith,Female,SS3,2006-04-04
S2299,Tobi Balogun,Male,SS1,2008-07-18
